listing_id,room_type,property_type,neighbourhood_name,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,host_is_superhost,host_listing_count,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,cutoff_date,dataset_version
308028,Private room,Private room in rental unit,Centrum-Oost,2,1.0,,0.5,,3,10,False,False,3,36.0,36.0,453.3611111111111,1269.0,1260.0,0,0.0,3.0,10.0,0,0.0,3.0,10.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
311124,Entire home/apt,Entire rental unit,Centrum-West,2,1.0,1.0,1.0,325.0,5,15,False,False,1,100.0,100.0,466.56,2216.0,386.0,90,1.0,5.0,15.0,30,1.0,5.0,15.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
327285,Private room,Private room in home,De Pijp - Rivierenbuurt,4,1.0,,1.5,,3,30,True,True,1,783.0,781.0,408.4891443167305,3264.0,336.0,25,0.2777777777777778,3.0444444444444443,30.0,0,0.0,3.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
331946,Entire home/apt,Entire loft,De Baarsjes - Oud-West,4,4.0,5.0,2.0,275.0,3,21,False,False,1,37.0,37.0,390.4594594594595,1263.0,358.0,0,0.0,3.0,21.0,0,0.0,3.0,21.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
343094,Private room,Private room in townhouse,Oud-Oost,2,1.0,1.0,1.0,104.0,5,30,True,True,1,586.0,585.0,307.98805460750856,1676.0,377.0,90,1.0,5.0,1125.0,30,1.0,5.0,1125.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
357980,Entire home/apt,Entire townhouse,De Baarsjes - Oud-West,4,4.0,,1.5,,3,1125,False,False,1,145.0,142.0,320.8689655172414,1042.0,360.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
359298,Entire home/apt,Entire rental unit,Centrum-Oost,3,1.0,0.0,1.0,271.0,2,1125,False,False,1,112.0,112.0,293.99107142857144,1424.0,584.0,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
366438,Private room,Private room in condo,Centrum-West,2,1.0,1.0,1.5,147.0,3,60,False,True,1,565.0,562.0,318.1185840707965,2019.0,337.0,90,1.0,3.0,60.0,30,1.0,3.0,60.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
367107,Entire home/apt,Entire condo,Centrum-Oost,2,1.0,1.0,1.5,299.0,5,30,False,False,1,23.0,22.0,396.4782608695652,1043.0,472.0,90,1.0,5.0,30.0,30,1.0,5.0,30.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
379885,Private room,Private room in houseboat,De Pijp - Rivierenbuurt,2,1.0,1.0,1.0,228.0,3,360,True,False,1,94.0,94.0,400.77659574468083,2188.0,1017.0,0,0.0,2.433333333333333,1125.0,0,0.0,2.4,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
410997,Entire home/apt,Entire rental unit,Westerpark,4,3.0,4.0,1.5,287.0,1,365,False,False,1,0.0,0.0,,,120.0,0,0.0,1.0,365.0,0,0.0,1.0,365.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
414865,Entire home/apt,Entire rental unit,Zuid,2,1.0,,1.0,,4,30,False,False,1,13.0,12.0,310.46153846153845,851.0,478.0,0,0.0,4.0,30.0,0,0.0,4.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
415619,Entire home/apt,Entire condo,Oostelijk Havengebied - Indische Buurt,3,1.0,1.0,1.0,124.0,2,14,False,False,1,92.0,92.0,403.3369565217391,1692.0,352.0,0,0.0,2.0,14.0,0,0.0,2.0,14.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
2981861,Private room,Private room in bed and breakfast,De Baarsjes - Oud-West,2,1.0,1.0,0.0,96.0,1,1125,True,False,15,160.0,159.0,153.6875,970.0,358.0,90,1.0,1.288888888888889,3.0,30,1.0,1.2666666666666666,3.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
431635,Entire home/apt,Entire condo,Bos en Lommer,3,2.0,4.0,0.0,63.0,5,6,False,False,1,24.0,24.0,366.7916666666667,923.0,359.0,0,0.0,6.0,6.0,0,0.0,6.0,6.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
432233,Entire home/apt,Entire condo,Centrum-Oost,2,1.0,,1.0,,3,30,False,False,1,29.0,29.0,361.7241379310345,1550.0,355.0,0,0.0,3.0,30.0,0,0.0,3.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
440992,Entire home/apt,Boat,Zuid,4,2.0,2.0,1.0,170.0,3,60,False,False,1,141.0,140.0,321.36879432624113,1126.0,343.0,8,0.08888888888888889,3.0,60.0,6,0.2,3.0,60.0,30,1,0.03333333333333333,1,2026-08-11,v1_audit_cleaned
441424,Entire home/apt,Entire home,Oostelijk Havengebied - Indische Buurt,4,3.0,3.0,2.0,158.0,4,30,False,False,1,45.0,45.0,287.5777777777778,989.0,373.0,21,0.23333333333333334,4.0,1125.0,14,0.4666666666666667,4.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
445660,Private room,Private room in guest suite,De Baarsjes - Oud-West,3,2.0,3.0,1.0,60.0,3,30,True,True,1,592.0,589.0,278.0135135135135,2409.0,337.0,78,0.8666666666666667,3.0,1125.0,18,0.6,3.0,1125.0,30,20,0.6666666666666666,0,2026-08-11,v1_audit_cleaned
450767,Entire home/apt,Houseboat,Centrum-Oost,4,2.0,3.0,1.0,374.0,3,1125,False,True,2,334.0,334.0,296.08383233532936,4511.0,350.0,90,1.0,3.0,1125.0,30,1.0,3.0,1125.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
462341,Entire home/apt,Entire home,Centrum-West,2,3.0,,1.5,,5,20,False,False,1,52.0,52.0,337.5,1265.0,364.0,0,0.0,5.0,1125.0,0,0.0,5.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
483779,Private room,Private room in rental unit,Slotervaart,2,2.0,,1.0,,2,14,False,False,1,34.0,33.0,226.76470588235293,891.0,3215.0,0,0.0,2.0,14.0,0,0.0,2.0,14.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
2984018,Private room,Private room in bed and breakfast,De Baarsjes - Oud-West,2,1.0,1.0,0.0,104.0,1,1125,True,False,15,49.0,48.0,141.79591836734693,994.0,361.0,90,1.0,1.288888888888889,1000.0,30,1.0,1.2666666666666666,1000.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
496953,Private room,Private room in bed and breakfast,De Baarsjes - Oud-West,2,1.0,1.0,1.5,250.0,1,31,False,False,1,28.0,28.0,446.4642857142857,1146.0,2780.0,0,0.0,1.0,31.0,0,0.0,1.0,31.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
503629,Entire home/apt,Entire rental unit,Zuid,4,2.0,,1.0,,1,22,False,False,1,13.0,12.0,530.0,1224.0,363.0,0,0.0,1.0,22.0,0,0.0,1.0,22.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
505012,Entire home/apt,Entire home,Centrum-Oost,4,3.0,4.0,1.0,630.0,3,30,False,False,1,61.0,60.0,362.04918032786884,1131.0,1189.0,0,0.0,3.0,30.0,0,0.0,3.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
507598,Entire home/apt,Entire rental unit,Centrum-West,4,2.0,3.0,1.0,500.0,2,7,False,False,1,62.0,62.0,295.6290322580645,969.0,2613.0,0,0.0,2.0,7.0,0,0.0,2.0,7.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
515088,Entire home/apt,Entire condo,Noord-Oost,4,1.0,2.0,1.5,215.0,2,10,False,False,1,1.0,1.0,137.0,137.0,2711.0,90,1.0,2.0,10.0,30,1.0,2.0,10.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
515749,Entire home/apt,Boat,Centrum-Oost,4,1.0,1.0,1.0,210.0,3,365,False,True,1,325.0,325.0,327.28,1814.0,379.0,57,0.6333333333333333,3.0,365.0,9,0.3,3.0,365.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
515921,Entire home/apt,Entire rental unit,Zuid,4,2.0,1.0,1.5,175.0,3,22,False,False,1,104.0,104.0,339.83653846153845,2425.0,366.0,27,0.3,2.0,22.0,12,0.4,2.0,22.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
517996,Entire home/apt,Entire rental unit,Centrum-West,2,1.0,1.0,1.0,350.0,3,1125,False,False,1,31.0,31.0,347.9032258064516,997.0,438.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
522471,Entire home/apt,Entire rental unit,Bos en Lommer,4,4.0,,1.5,,9,25,False,False,1,29.0,29.0,523.5862068965517,1721.0,730.0,0,0.0,9.0,25.0,0,0.0,9.0,25.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
528022,Private room,Private room in boat,Westerpark,2,1.0,1.0,1.5,125.0,2,30,False,True,1,355.0,350.0,232.2507042253521,1250.0,340.0,87,0.9666666666666667,2.0,30.0,27,0.9,2.0,30.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
528594,Private room,Private room in rental unit,Slotervaart,2,,,1.0,,2,31,False,True,2,75.0,75.0,394.82666666666665,1814.0,364.0,0,0.0,2.0,31.0,0,0.0,2.0,31.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
537321,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,2,2.0,,1.0,,29,30,False,False,1,33.0,33.0,368.06060606060606,1239.0,1543.0,0,0.0,29.0,30.0,0,0.0,29.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
538723,Entire home/apt,Entire condo,Watergraafsmeer,4,2.0,,1.5,,5,30,False,False,1,57.0,57.0,354.140350877193,1461.0,2414.0,0,0.0,5.0,30.0,0,0.0,5.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
549310,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,4,2.0,,1.0,,1,1125,False,False,1,63.0,63.0,283.36507936507934,1838.0,380.0,0,0.0,1.0,1125.0,0,0.0,1.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
553514,Entire home/apt,Entire rental unit,Westerpark,2,0.0,1.0,1.5,108.0,2,30,False,False,1,162.0,161.0,315.8703703703704,1543.0,2368.0,0,0.0,2.0,30.0,0,0.0,2.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
556829,Entire home/apt,Entire rental unit,Buitenveldert - Zuidas,2,1.0,1.0,1.0,126.0,3,30,False,False,2,28.0,28.0,360.5357142857143,1089.0,842.0,0,0.0,3.0,30.0,0,0.0,3.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
568446,Entire home/apt,Entire rental unit,Centrum-Oost,3,2.0,,1.0,,3,5,False,False,1,108.0,105.0,271.99074074074076,1418.0,1468.0,0,0.0,3.0,5.0,0,0.0,3.0,5.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
570753,Private room,Private room in bed and breakfast,Zuid,3,1.0,2.0,1.5,87.0,4,30,False,True,1,402.0,398.0,359.78855721393035,2154.0,357.0,88,0.9777777777777777,4.0,30.0,30,1.0,4.0,30.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
575603,Entire home/apt,Entire loft,Centrum-Oost,4,4.0,,2.5,,5,35,False,False,1,22.0,22.0,338.09090909090907,757.0,585.0,0,0.0,5.0,35.0,0,0.0,5.0,35.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
575615,Entire home/apt,Entire rental unit,Centrum-Oost,4,3.0,,1.5,,3,30,False,False,1,40.0,40.0,381.25,1331.0,746.0,0,0.0,3.0,30.0,0,0.0,3.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
579851,Private room,Private room in guest suite,Westerpark,2,1.0,1.0,1.0,152.0,2,31,False,True,1,640.0,633.0,318.3078125,2138.0,351.0,0,0.0,2.0,31.0,0,0.0,2.0,31.0,30,1,0.03333333333333333,1,2026-08-11,v1_audit_cleaned
